Date,link,text
"November 22, 2023 08:45 PM IST",https://www.moneycontrol.com/news/business/power-grid-corp-board-approves-investment-worth-rs-367-crore-11793061.html,"Power Grid Corp board approves investment worth Rs 367 crore

State-owned Power Grid Corp board on November 22 approved a proposal to invest about Rs 367 crore in electricity transmission projects. Committee of Directors on Investment on Projects' of Powergrid in its meeting held on November 22, 2023, has accorded investment approval for two projects, a BSE filing showed.

As per the filing, the first project which got the approval is an augmentation of transformation capacity by 1X1500 MVA (3rd), 765/400 KV ICT at Maheshwaram (PG) substation in Telangana at an estimated cost of Rs 142.69 crore. It is scheduled to be commissioned within 21 months from the date of intimation by CTUIL (Central Transmission Utility) letter on July 10, 2023 — by April 9, 2025.

The board also approved the transmission System for Evacuation of Power from the Potential RE Zone in the Khavda Area of Gujarat under phase IV (7GW)- Part E4 at an estimated cost of Rs 224.41 crore, scheduled to be commissioned within 24 months from the date of intimation by CTUIL letter on July 10, 2023 — by July 9, 2025."
"November 22, 2023 08:42 AM IST",https://www.moneycontrol.com/news/business/exclusive-work-on-leh-kaithal-green-energy-corridor-to-begin-only-by-2026-11784321.html,"Tests have to be conducted on how every equipment that will be deployed by HVDC players will perform in such high altitude sub-zero climatic conditions, PGCIL officials said.

The construction of India’s ambitious Green Energy Corridor (GEC) for evacuation of 13 GW renewable energy from Ladakh will begin only in the calendar year 2026 due to extensive engineering studies required for the high-altitude mega transmission project, officials from the Powergrid Corporation of India (PGCIL) told Moneycontrol.

The project received its final approval from the Cabinet Committee on Economic Affairs, chaired by Prime Minister Narendra Modi, on October 18. The transmission line for evacuating green power from the under construction renewable energy park in Ladakh will start from Pang (Ladakh), and will pass through Himachal Pradesh and Punjab, after which it will end in Kaithal in Haryana, where it will be integrated with the national grid.

PGCIL is the implementing agency of the project, which will entail setting up of 713 km of transmission lines - including 480 kms of High Voltage Direct Current (HVDC) lines and five GW capacity of HVDC terminals each at Pang (Ladakh) and Kaithal (Haryana).

The project is targeted to be set up by FY 2029-30, with a total estimated cost of Rs 20,773.70 crore, which includes a financial grant of Rs 8,309.48 crore by the central government. The remaining cost of Rs 12,464.22 crore will be borne by PGCIL.

The update on the project

Moneycontrol took stock of the project through PGCIL and found that the central public sector undertaking (CPSU) is yet to get formal communication from the central government on the modalities of how the financial grant would be given.

“Once we get the communication on the modalities of the grant from the central government, we will take it up for investment approval. But, we (PGCIL) have already started the studies of front-end engineering design for the marquee project,” said a senior official requesting anonymity.

PGCIL has appointed two HVDC players for one part of the two-part study. The first part, currently ongoing, is expected to be completed by March-April, which will provide the first report of this one-of-a-kind project. After that the CPSU will begin the second phase of the study, and only once both are complete, will it go for bidding of the project.

“So, work for the project will be awarded either in the last quarter of FY25 or the first quarter of FY26,” said another official, requesting anonymity.

Challenges - high terrain, sub-zero temperatures

According to PGCIL officials, this GEC-Inter-State Transmission System (ISTS) will be one of the most challenging projects undertaken by it so far.

“This is why the studies have to be thorough. We are talking about laying long transmission lines in high altitudes of 4,700 metres above sea level with sub-zero temperatures. Tests have to be conducted on how every equipment that will be deployed by HVDC players will perform in such high altitude sub-zero climatic conditions,” said the official.

Besides, the working conditions there (Ladakh) will be conducive for hardly 5-6 months a year. “So, it will take at least five years from the time the work is awarded.”

The project is a major step toward India's target of achieving 500 GW of installed electricity capacity from non-fossil fuels by 2030, besides contributing towards ensuring energy security for the country. It will also generate direct and indirect employment opportunities for both skilled and unskilled personnel in power and other related sectors, especially in the Ladakh region.

Queries sent to PGCIL for an official comment on the matter remained unanswered."
"November 16, 2023 02:40 PM IST",https://www.moneycontrol.com/news/business/moneycontrol-research/power-grid-corporation-of-india-back-on-the-growth-path-11753071.html,"Power Grid is gearing up to grab a greater market share in the next couple of years.

PRO Only Highlights

- Quarterly performance largely backed by improved realisations

- Medium-term triggers China plus and protectionist measures for tyre industry

- Valuations not inexpensive; but improved medium-term outlook

Highlights Significant capex in the T&D space over the next five years. The new project pipeline and strong capex provide growth visibility. The company has raised growth capex guidance and expects improvement Stock trading 2 times fiscal 2026 estimated book value With a higher planned capex in India's transmission and distribution sector, Power Grid (CMP: Rs207, Market capitalisation: Rs 1,92,894 Crore, Stock Rating: Overweight) is gearing up to grab a greater market share in the next couple of years. For the current fiscal, the company..."
"November 08, 2023 06:04 AM IST",https://www.moneycontrol.com/news/business/earnings/power-grid-q2-net-profit-inches-up-4-to-rs-3781-crore-11689241.html,"Relatively lower expenses drove profits higher but higher taxes offset them partly.

live bse live

nse live Volume Todays L/H More ×

Power Grid Corporation of India on November 7 said its consolidated net profit for the quarter ended September 30, 2023 rose 3.59 percent to Rs 3,781.42 crore from Rs 3,650.29 crore a year ago. Relatively lower expenses drove profits higher but higher taxes offset them partly.

The Central Public Sector Undertaking (CPSU) also declared an interim dividend of Rs 4 per equity share of Rs 10 each (at 40 percent of the paid-up equity share capital) for the financial year 2023-24. The interim dividend will be paid to the members on December 6.

Its revenue from operations came in at Rs 11,267.07 crore, up 1.04 percent against Rs 11,150.57 crore in the corresponding quarter last year. Consolidated revenue marginally increased to Rs 11,530.43 crore in the three months ending September from Rs 11,349.44 crore in the year-ago quarter, a rise of 1.6 percent.

The company's earnings before interest, tax, depreciation, and amortization (EBITDA) rose 5.7 percent to Rs 10,171.73 crore in the second quarter of this fiscal over Rs 9,624.72 crore in the year-ago period. The EBITDA margin stood at 88.2 percent in the reporting quarter compared to 84.8 percent in the corresponding period in the previous fiscal.

The company's transmission business saw a marginal increase to Rs 10,991.96 crore in the second quarter of FY 24 from Rs 10,920.5 crore during the same period last year. Earnings from telecom business rose to Rs 224.99 crore from Rs 205.01 crore. Revenue from consultancy services also increased to Rs 181.61 crore from Rs 141.18 crore.

The company's shares closed 0.10 percent higher at Rs 208 on the NSE on November 7."
"September 20, 2023 03:18 PM IST",https://www.moneycontrol.com/news/business/stocks/ntpc-power-grid-hit-all-time-high-jsw-energy-gains-5-on-high-volume-trade-11397531.html,"Jefferies expects investments in power generation, transmission and distribution to rise 2.2x to $280 billion between FY24 and FY30.

live bse live

nse live Volume Todays L/H More ×

Stocks of state-owned utilities NTPC and Power Grid hit an all-time high while JSW Energy was up 5 percent on September 20 on high-volume trade, buoyed by a robust growth outlook for the sector.

Shares of Power Grid registered an all-time high at Rs 205.95 and were trading at Rs 205.05 apiece at 2.30 pm, up Rs 4.95 or 2.47 percent on the NSE.

At the same time, NTPC shares recorded an all-time high at Rs 246 and were trading at Rs 241.85 apiece, up Rs 0.65 or 0.27 percent.

After trading in the red for two consecutive trading sessions, JSW Energy stock surged 5 percent on the NSE today. At 2.30 pm, the company’s stock was quoting at Rs 407.30, up Rs 13.35 or 3.39 percent. Nearly 91 lakh shares of the company exchanged hands at the bourses against a monthly average of 54 lakh shares.

Jefferies recommending NTPC, Power grid and JSW Energy as its top picks seemed to have weighed on the stocks seeing a surge in trading volumes.

“As India enters a phase of capex-driven GDP growth, power intensity should rise. We expect the annual thermal plant-load factor to cross 80 percent by FY25,” the foreign brokerage said.

It expects the capex CAGR in the power sector to rise 9x at 20 percent in the period of FY23 to FY26 versus a mere 2.2 percent recorded in the period FY10 to FY20. Overall, the brokerage expects investments in power generation, transmission and distribution to rise 2.2x to $280 billion between FY24 and FY30.

Disclaimer: The views and investment tips expressed by experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions."
"September 06, 2023 10:32 AM IST",https://www.moneycontrol.com/news/business/markets/power-grid-stock-gains-on-nod-to-establish-inter-state-transmission-system-11319161.html,"In August, the public sector undertaking was declared a successful bidder for a host of inter-state transmission system projects.

Shares of Power Grid Corporation of India Limited rose over a percent to Rs 257 in early trade on September 6 after the company emerged as the successful bidder to establish an Inter-State transmission system project, the company said in an exchange filing on September 5.

Follow our market blog for all the live action

This project involves building a new electrical station in Dausa, Rajasthan, with the capacity to handle high voltage of about 765/400kV. It also includes constructing a transmission line at this station and connecting it to existing electrical lines. Additionally, there will be some work to expand the bays (sections) at this station to accommodate the new equipment and connections.

In August, the public sector undertaking or PSU was declared a successful bidder for a host of inter-state transmission system projects.

The projects include a transmission system for the evacuation of power from renewable energy zones in Rajasthan (20GW) under Phase III Part B1. The job comprises setting up a 765/400/220 kV pooling station at Bhadla-3 and a 765 kV D/C transmission line traversing in Rajasthan and associated bay extension works.

The other project is for a transmission scheme for a solar energy zone in Ananthpuram (Ananthapur) (2,500 MW) and Kurnool (1,000 MW), Andhra Pradesh. It involves building a 400/220 kV pooling station at a suitable border location between Ananthpuram and Kurnool (in Andhra Pradesh) and setting up two 400 kV D/C transmission lines traversing in Andhra Pradesh and associated bay extension works.

Disclaimer: The views and investment tips expressed by experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions."
"August 17, 2023 12:16 PM IST",https://www.moneycontrol.com/news/business/markets/power-grids-north-east-project-commissioned-shares-down-1-2-11207681.html,"Power Grid trades flat post the commission of project under North Eastern Region scheme

Shares of Power Grid traded lower on August 17, post successful commissioning of a project in the North-East.

At 12:07 pm, the Power Grid stock was trading 2.22 percent lower at Rs 242.55 on NSE.

The state-owned electric services company has successfully commissioned assets under North-Eastern Region Strengthening Scheme-VI. The company received notification for the commercial operation on August 16, according to an exchange filing.

Follow our live blog for all the market action

Brokerage Views

Sharekhan is bullish on Power Grid Corporation of India has recommended buy rating on the stock with a target price of Rs 265 in its research report dated May 22, 2023.

Bank of America Securities (BofA) has downgraded Power Grid stock, changing its rating from 'buy' to 'underperform' in a recent report. Despite this downgrade, BofA has maintained the target price for the stock at Rs 259.

Brokerage firm Yes Securities has 'buy' call on Power Grid Corporation of India with a target price of Rs 295.

Shareholding Pattern

Promoter i.e., The President of India has a 51.34 percent stake in Power Grid. FIIs and DIIs have a 33.13 percent and 12.57 percent stake in the company respectively. The public owns the remaining 2.95 percent stake in the company.

Stock Performance

The Power Grid stock has gained 14.31 percent over the last six months, compared to an 8.5 percent rise in the Nifty 50 index.

Disclaimer: The views and investment tips expressed by experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions."
"July 31, 2023 09:48 PM IST",https://www.moneycontrol.com/news/business/earnings/power-grid-q1-profit-falls-5-3-board-approves-bonus-shares-and-fund-raising-11068601.html,"The company's transmission business saw a marginal increase to Rs 10,829.67 crore in the first quarter of FY 24 from Rs 10,702.98 crore during the same period last year.

live bse live

nse live Volume Todays L/H More ×

Power Grid Corporation of India Limited (PGCIL) on July 31 reported a 5.3 percent drop in consolidated net profit to Rs 3,597.16 crore in the April-June quarter, as against Rs 3,801.29 crore a year earlier.

The public sector company's Board also approved issue of bonus shares in the ratio of one equity share of Rs 10 each for every three equity shares held, subject to the approval of shareholders of the Company. The bonus is likely to be credited by September 25.

Besides, Power Grid will also raise funds of up to Rs 12,000 crore in FY 2025 from the domestic market. The company's Board approved raising funds through bonds under private placement, which could be issued in a single or multiple tranches.

ALSO READ: Power Grid declared successful bidder for 2 projects, shares spike nearly 2%

Consolidated revenue marginally increased to Rs 11,257.60 crore in the three months ended June from Rs 11,168.54 crore in the year-ago quarter. In that, the revenue from operations during the same period increased by one percent to Rs 11,048.13 crore to Rs 10,905.21 crore.

The company's transmission business saw a marginal increase to Rs 10,829.67 crore in the first quarter of FY 24 from Rs 10,702.98 crore during the same period last year. Earnings from telecom business rose to Rs 212.19 crore from Rs 190.32 crore. Revenue from consultancy services, however, declined 46 percent to Rs 126.74 crore from Rs 235.39 crore.

The company's shares closed 3.04 percent higher at Rs 266.05 on the NSE on July 31.

ALSO READ: Power Grid board approves raising up to Rs 5,700 crore through bonds this fiscal"
"June 30, 2023 10:18 AM IST",https://www.moneycontrol.com/news/business/stocks/power-grid-hits-a-52-week-high-on-green-light-to-rs-389-crore-projects-10881121.html,"Power Grid's board has approved three investment proposals worth Rs 389 crore.

live bse live

nse live Volume Todays L/H More ×

Shares of Power Grid Corporation of India hit a 52-week high of Rs 259.80 in morning trade on June 30 after the state-run company said its board has approved three investment proposals worth Rs 389 crore.

Power Grid shares were trading 2.14 percent up at Rs 255.50 at 9.50am on the BSE.

In a post-market-hour filing on June 28, Power Grid said its Committee of Directors on Investment on Projects has approved an investment proposal for change in scope for establishment of dedicated telecom network for NTAMC at an estimated cost of Rs 164.38 crore.

The board also approved 'Western Region expansion scheme – XXXIII – Part A' at an estimated cost of Rs 115.09 crore, scheduled to be commissioned by August 15, 2024.

Catch all the market action on our live blog

Besides, the company received the investment approval for 'ICT Augmentation at Navsari (New) associated with integration of additional 7 GW RE power from Khavda RE park under Phase-III' at an estimated cost of Rs 109.47 crore.

This project is expected to be commissioned by October 2025.

Last month, Power Grid Corporation of India - one of the largest power transmission utilities in the world - reported a growth of 3.94 percent year-on-year (YoY) in consolidated net profit to Rs 4,320.43 crore from Rs 4,156.44 crore.

Revenue from operations came in at Rs 12,263.72 crore, up 14.75 percent from Rs 10,686.77 crore in the same quarter last year.

The board of directors recommended a final dividend of Rs 4.75 per share for 2022-23, subject to the approval of shareholders. The total dividend (including interim dividend) for the financial year 2022-23 was at Rs 14.75 per share.

Shares of Power Grid are up 18 percent this year till date.

The country's largest power transmission utility tramsmits about 45 percent of total power generated in India through its network. It also offers transmission-related consultancy to more than 150 domestic clients and owns and operates 71673 km of telecom network.

“Power Grid has been a steady performer on account of strong asset addition in FY16-20. With relatively small sizes of renewable projects, the growth rate will taper down for the stock supported by decent dividend yield but the same has been discounted while new business initiatives will take time to show results,” ICICI Securities said in a recent note.

Disclaimer: The views and investment tips expressed by experts on Moneycontrol.com are their own and not those of the website or its management. Moneycontrol.com advises users to check with certified experts before taking any investment decisions."
"June 09, 2023 08:21 AM IST",https://www.moneycontrol.com/news/business/one-nation-one-grid-one-price-india-set-to-introduce-market-coupling-in-electricity-trade-10765101.html,"Under market coupling, buy and sell bids from all power exchanges in the country will be aggregated and matched to discover a uniform market clearing price (MCP)

live bse live

nse live Volume Todays L/H More ×

The government has given its approval to introduce market coupling in the electricity sector, which will result in uniform prices for power across multiple exchanges.

The Union Ministry of Power has written to the Central Electricity Regulatory Commission (CERC) asking it to initiate the process of market coupling across the country's power exchanges.

Under market coupling, buy and sell bids from all power exchanges in the country will be aggregated and matched to discover a uniform market clearing price (MCP). In the long-term, the measure is likely to also help in keeping power tariffs affordable in the country, apart from ensuring quick access.

""I am directed to say that several stakeholders have approached the Ministry of Power on the subject of market coupling in the context of multiple power exchanges. The Ministry of Power has decided to go ahead with the process with the approval of the Minister of Power and New and Renewable Energy. Therefore, the process for implementation of market needs to be initiated,"" read the letter sent by the Power Ministry to the CERC on June 2. Moneycontrol has a copy of the letter.

The CERC will now create a paper on the matter, which will be followed by stakeholder consultations.

At present, power prices or MCPs are different in the three power exchanges that India has - Indian Energy Exchange Limited (IEX), Power Exchange India Limited (PXIL) and Hindustan Power Exchange Limited (HPX).

The development is seen as a setback to IEX, which currently enjoys a monopoly status with a 90 percent share in the electricity market.

Following the development, shares of IEX tumbled more than 8 percent in the last 30 minutes of trade on June 8 as the news of market coupling spread. This is because once market coupling is implemented, it will ensure liquidity across all power bourses. At present,

IEX has significantly higher liquidity compared to PXIL and HPX because of which the latter two are less opted for.

The move is a step towards the government's intention to shift India's electricity trading from long-term (25 years) power purchase agreements (PPAs) to electricity markets (exchanges) and shorter PPAs of up to 12-15 years.

A senior Power Ministry official said that market coupling is also a step towards implementing the Market-Based Economic Dispatch (MBED) mechanism. The MBED mechanism envisages centralised scheduling for dispatching the entire yearly consumption of electricity of around 1,400 billion units.

It proposes centralized scheduling of power dispatches both at the inter-state and intra-state levels. Besides, market coupling will also pave the way for the implementation of electricity derivatives in the market.

Some states have objected to the MBED mechanism as they feel it will infringe on their autonomy over the electricity sector, which as per the Constitution is a concurrent subject.

CERC in February 2021 had issued the Power Market Regulations 2021, whose Part-5, Regulation 37 contains enabling regulations for the implementation of market coupling in power markets in India.

Prabhajit Sarkar, former managing director and CEO of PXIL said market coupling would require designating an agency as the Market Coupling Operator (MCO), which in all likelihood is going to be Grid-India. He said the entire process, including any market-wide consultation, should not take more than six months.

“The MCO will put in place all processes and formats such that power exchanges (PX) obtain bids/orders from clients in similar formats and pass them to the MCO with client-specific information masked, procedure for MCO to declare results and formats and procedures for inter-PX information exchange for scheduling of power and clearing and settlement of financial dues,” Sarkar said.

The MCO will also have to ensure that deposits and payment securities kept with any one exchange be granted fungibility, such that they can be used as collateral for placing bids/orders on any other exchange with due emphasis on superior risk management practices.

“The participants now no longer need to be beholden to only one exchange, which hitherto due to the market structure issue had the benefit of getting all the liquidity. With greater competition amongst exchanges and market platforms, the levels of service, access and most importantly cost of access in the form of transaction fees should come down making the market efficient. The true benefit of competition would finally be available to all market participants,” Sarkar said.

Naveen Singh, head, business development, HPX said the move is going to help reduce power tariffs in the long-run. ""We are confident that the CERC would soon come up with the necessary regulatory framework to ensure its implementation at the earliest. This will give a fillip to the service levels in the power market, ensure better transparency and uniform price discovery across exchanges. It is also expected to bring down the power tariff in the country significantly,"" he said.

IEX and PXIL did not comment on the matter."
